2010	2	6	2	59	1.3	2.6
2010	3	7	11	4	0.4	6.4
2010	3	21	9	0	0.4	3
2010	6	6	17	53	1.8	3.5
2010	6	8	13	21	1.5	4.1
2010	6	23	13	19	1.7	2.6
2010	6	28	12	29	1.2	3.4
2010	7	3	3	27	1.1	2.4
2010	7	23	3	23	0.5	3.7
2010	8	2	6	1	0.2	6.1
2010	8	2	13	56	2.1	5.2
2010	9	18	23	5	1.6	3.6
2010	9	26	13	48	1.6	2.8
2010	10	13	7	47	1.3	5.3
2010	11	25	9	37	2.8	6
2010	12	2	9	32	1.3	5
2010	12	10	3	45	2.1	6.9
2010	12	21	22	41	1.4	2.1
2011	1	12	18	30	2.2	5.1
2011	1	18	13	31	2.5	3.6
2011	1	19	12	15	1.3	6.7
2011	1	27	7	56	0.1	3.4
2011	2	1	16	2	0.1	2.4
2011	2	23	6	2	2.1	2.9
2011	3	9	7	31	0.8	5.5
2011	3	24	0	47	0.4	3.5
2011	4	15	17	17	1.7	2.7
2011	4	18	1	38	0.4	4.6
2011	5	8	3	4	0.1	2.5
2011	5	26	16	45	0.5	4.7
2011	6	1	17	30	1.9	3.5
2011	6	9	20	15	0.9	5.7
2011	6	9	6	36	1.9	3.3
2012	3	21	10	11	2.6	5.1
2012	5	7	20	44	1.5	7
2012	5	28	9	11	0.7	4.9
2012	6	5	2	59	1.5	6.3
2012	7	26	22	35	1.2	6.3
2012	8	20	10	27	0.2	5
2012	9	14	6	46	0.3	4.7
2012	9	23	0	14	1.8	5.6
2012	10	15	1	0	1.5	5.7
2012	10	21	13	18	0.7	3.7
2012	10	28	20	7	1.5	5
2012	11	1	9	39	1.5	5.7
2012	11	7	20	50	1	5.6
